candidate_id,feature,feature_value,shap_contribution_try_m,direction
C01,accessible_pop_drive_10,405561.0,17.493838719750645,positive
C01,income_index,135.456,0.13113063352849957,positive
C01,commercial_index,0.91481,0.010067093544958864,positive
C01,transit_index,0.887663,0.21654518615743462,positive
C01,poi_density_2km,22.0,0.055986996051653914,positive
C01,competitor_density_3km,1.0,0.6895455346700011,positive
C01,rent_try_sqm_month,2267.64,0.014881933879514867,positive
C01,cannibalization_risk,0.535299,-0.6209128591168181,negative
C01,walkability_index,0.943645,3.0802044851977586,positive
C02,accessible_pop_drive_10,328230.0,4.402184776833593,positive
C02,income_index,120.091,-0.17614259831589021,negative
C02,commercial_index,0.820345,0.10763947010855272,positive
C02,transit_index,0.713254,-0.8814343814751957,negative
C02,poi_density_2km,9.0,0.1317033982497586,positive
C02,competitor_density_3km,3.0,0.35464798148093,positive
C02,rent_try_sqm_month,2016.9,0.0858857003338382,positive
C02,cannibalization_risk,0.001689,-0.6250749444134533,negative
C02,walkability_index,0.912466,2.9758811343289358,positive
C03,accessible_pop_drive_10,394377.0,17.49314000360535,positive
C03,income_index,119.424,-0.17471853954433067,negative
C03,commercial_index,0.823608,-0.058345253598633684,negative
C03,transit_index,0.732418,-0.26494321044325647,negative
C03,poi_density_2km,0.0,-0.10676748987361832,negative
C03,competitor_density_3km,0.0,0.940469287540132,positive
C03,rent_try_sqm_month,1981.49,-0.018461493871098016,negative
C03,cannibalization_risk,0.01029,-1.499857763049983,negative
C03,walkability_index,0.894543,3.272212410639853,positive
C04,accessible_pop_drive_10,338452.0,8.555981918494027,positive
C04,income_index,117.896,-0.3354946982930241,negative
C04,commercial_index,0.820531,-0.07203224909761052,negative
C04,transit_index,0.70891,-0.9823258458591232,negative
C04,poi_density_2km,24.0,-0.166933203407844,negative
C04,competitor_density_3km,10.0,-5.006725474056059,negative
C04,rent_try_sqm_month,1988.34,0.009153429307209278,positive
C04,cannibalization_risk,0.00302,-0.6697513624084533,negative
C04,walkability_index,0.908338,2.801175312982437,positive
C05,accessible_pop_drive_10,404027.0,17.382632752618214,positive
C05,income_index,138.306,0.15581764526907527,positive
C05,commercial_index,0.91729,0.018417371627596144,positive
C05,transit_index,0.904172,0.2241505291912777,positive
